Title,genre,director,publication date,publisher
Chrysalis,rhythm and blues,,2000-09-29,
The House of Smiles,melodrama,Marco Ferreri,1991-01-01,
Monty Montgomery,,,,
Woman Sesame Oil Maker,drama,Xie Fei,1993-01-01,
Unknown Chaplin,documentary film,David Gill,1982-01-01,
KITT,,,,
Blood of the Innocent,thriller film,Bob Misiorowski,1995-01-01,
Vlad,vampire film,,2003-01-01,
Sophie,comedy film,,2010-01-01,
Escape,thriller film,Yegor Konchalovsky,2005-01-01,
Concrete Blondes,action comedy film,,2012-01-01,
A Few Good Men,legal drama,,,
Born to Kill,crime film,Robert Wise,1947-01-01,
Min and Bill,comedy-drama,George W. Hill,1930-11-21,
Return to Horror High,slasher film,Bill Froehlich,1987-01-09,
Big Trouble,,,,
Flying Swords of Dragon Gate,adventure film,Tsui Hark,2011-01-01,
Skagerrak,comedy film,Søren Kragh-Jacobsen,2003-03-14,
Children of the Century,drama,Diane Kurys,1999-01-01,
Moshidora,novel,,2009-12-04,
Kikujiro,comedy-drama,Takeshi Kitano,1999-05-20,
Marked for Death,buddy cop film,Dwight H. Little,1990-01-01,
Evening,drama,Lajos Koltai,2007-01-01,
Showtime,,,,
Holiday in Handcuffs,television comedy,Ron Underwood,2007-12-09,
Happy,,,,
Circus,thriller film,Rob Walker,2000-01-01,
Circus World,drama,Henry Hathaway,1964-01-01,
Black Snow,drama,Xie Fei,1990-01-01,
The Adventurers,thriller film,Ringo Lam,1995-01-01,
Howling III,comedy horror,Philippe Mora,1987-01-01,
Mulholland Falls,crime film,Lee Tamahori,1996-04-26,
RKO 281,historical drama,Benjamin Ross,1999-11-20,
Citizen X,crime film,Chris Gerolmo,1995-01-01,
The Richest Duck in the World,,,,
The Billionaire of Dismal Downs,,,,
Double Tap,thriller film,Law Chi-leung,2000-01-01,
Almost Human,science fiction film,,2013-09-10,
Big Fish & Begonia,adventure film,,2016-07-08,
The Rooftop,romantic comedy,Jay Chou,2013-07-11,
City of Ghosts,neo-noir,Matt Dillon,2002-01-01,
Echo Base,,,,
Re-Animated,television comedy,,2006-12-08,
The Tall Blond Man with One Black Shoe,crime film,Yves Robert,1972-01-01,
The Empire-Builder from Calisota,,,,
Yuva,action film,Mani Ratnam,2004-01-01,
Battle of Warsaw 1920,war film,Jerzy Hoffman,2011-09-26,
Suicide Room,thriller film,Jan Komasa,2011-01-01,
Little Moscow,melodrama,Waldemar Krzystek,2008-01-01,
Rope,,,,
Wojciech Jerzy Has,,,,
Tiny Times,romance film,Guo Jingming,2013-01-01,
Foggy Nelson,,,,
The Malay Chronicles: Bloodlines,epic film,Yusry bin Abdul Halim,2011-01-01,
Kokoda,drama,Alister Grierson,2006-01-01,
Indie Game: The Movie,documentary film,James Swirsky,2012-01-20,
Vishwanatha Nayakudu,biographical film,Dasari Narayana Rao,1987-01-01,
Go Go Tales,comedy film,Abel Ferrara,2007-01-01,
Hello Mary Lou: Prom Night II,horror film,Bruce Pittman,1987-01-01,
Trekkies,documentary film,Roger Nygard,1997-01-01,
Claus Boje,,,,
Do Anjaane,,Dulal Guha,1976-01-01,
Cleaner,thriller film,Renny Harlin,2007-01-01,
Mausam,romance film,Pankaj Kapur,2011-01-01,
Insaaf Ka Tarazu,Bollywood,Baldev Raj Chopra,1980-11-11,
Life Without Principle,crime film,Johnnie To,2011-01-01,
Venghai,action film,Hari,2011-01-01,
Veppam,romance film,Anjana,2011-07-29,
Cleopatra,,,,
Macao,film noir,Josef von Sternberg,1952-04-30,
Clive Langer,pop music,,,
Ken Masters,,,,
Clockwise,comedy film,Christopher Morahan,1986-01-01,
Mashaal,children's film,Yash Chopra,1984-01-01,
Closet Land,dystopian film,Radha Bharadwaj,1991-01-01,
Closing the Ring,war film,Richard Attenborough,2007-01-01,
Club Dread,slasher film,Jay Chandrasekhar,2004-01-01,
Club Paradise,comedy film,Harold Ramis,1986-01-01,
Caitiaan,,,,
A Thousand Words,comedy film,Brian Robbins,2012-03-09,
Flickering Lights,comedy film,Anders Thomas Jensen,2000-11-03,
Rufus Shinra,,,,
Coach Carter,biographical film,Thomas Carter,2005-01-13,
Chasing Papi,romantic comedy,Linda Mendoza,2003-04-16,
Ghatak: Lethal,action film,Rajkumar Santoshi,1996-11-08,
Code 46,science fiction film,Michael Winterbottom,2003-01-01,
Code Name: The Cleaner,spy film,Les Mayfield,2007-01-01,
Dev,romantic comedy,,,
Ba’ku,,,,
Nights on the Road,drama,Rudolf Jugert,1952-01-14,
The Street with No Name,crime film,William Keighley,1948-01-01,
Nobel Son,comedy film,Randall Miller,2007-04-28,
When the Sea Rises,romantic comedy,Gilles Porte,2004-05-16,
Yuppi du,musical film,Miki Del Prete,1975-01-01,
Le Marginal,crime film,Jacques Deray,1983-01-01,
Coldblooded,thriller film,Wallace Wolodarsky,1995-01-01,
Cold Fever,comedy-drama,Friðrik Þór Friðriksson,1994-01-01,
Cold Creek Manor,thriller film,Mike Figgis,2003-01-01,
Cold Prey 2,slasher film,Mats Stenberg,2008-10-10,
As the Light Goes Out,disaster film,Derek Kwok,2014-01-02,
Mixmaster,,,,
Jonah Who Lived in the Whale,biographical film,Roberto Faenza,1993-01-01,
College Road Trip,children's film,Roger Kumble,2008-03-07,
Sherlock Holmes,,,,
Tere Naam,Bollywood,Satish Kaushik,2003-08-15,
Dr. Alexander Isaacs,,,,
Fled,buddy film,Kevin Hooks,1996-01-01,
The Five Pennies,musical film,Melville Shavelson,1959-06-18,
Proton pack,,,,
Off Beat,drama,Hendrik Hölzemann,2004-09-11,
Color of Night,crime film,Richard Rush,1994-01-01,
Colors,crime film,Dennis Hopper,1988-01-01,
Babes in Toyland,musical film,Jack Donohue,1961-12-14,
High Crimes,film based on a novel,Carl Franklin,2002-01-01,
Sunshine Cleaning,independent film,Christine Jeffs,2008-01-18,
Hellsinki,crime film,Aleksi Mäkelä,2009-01-01,
I Don't Speak English,comedy film,Carlo Vanzina,1995-01-01,
Them,horror film,David Moreau,2006-04-08,
Rigor Mortis,kung fu film,Juno Mak,2013-08-30,
The Dancer Upstairs,historical novel,,,
Curiosity Kills the Cat,thriller film,Zhang Yibai,2006-01-01,
Comandante,documentary film,Oliver Stone,2003-01-01,
I'll Be There,musical film,Craig Ferguson,2003-01-01,
The Island,novel,,,
Tender Mercies,musical film,Bruce Beresford,1983-03-04,
Nouvelle Vague,fantasy film,Jean-Luc Godard,1990-01-01,
The Chronicle of Anna Magdalena Bach,musical film,Danièle Huillet,1968-02-03,
Career Opportunities,romantic comedy,Bryan Gordon,1991-01-01,
Naayika,children's film,Jayarajan Rajasekharan Nair,2011-01-01,
Overnight Delivery,romantic comedy,Jason Bloom,1998-01-01,
Cougar Club,comedy-drama,Christopher Duddy,2007-05-19,
The Cruelest Day,drama,Ferdinando Vicentini Orgnani,2003-01-01,
The Mourning Forest,drama,Naomi Kawase,2007-01-01,
A No-Hit No-Run Summer,drama,Francis Leclerc,2008-01-01,
The Liberator,drama,Alberto Arvelo,2013-01-01,
Radio Rebel,musical film,Peter Howitt,2012-02-17,
Foolish Wives,silent film,Erich von Stroheim,1922-01-01,
Something New,romantic comedy,Sanaa Hamri,2006-01-01,
Down to Earth,romantic comedy,Chris Weitz,2001-02-12,
The Woman Next Door,drama,François Truffaut,1981-09-30,
Rachel Getting Married,independent film,Jonathan Demme,2008-01-01,
The Emperor's New Clothes,,,1837-04-07,
Dawson Isla 10,drama,Miguel Littín,2009-09-11,
The Hireling,drama,Alan Bridges,1973-01-01,
Ronda nocturna,drama,Edgardo Cozarinsky,2006-06-15,
The Four-Faced Liar,comedy-drama,Jacob Chase,2010-01-01,
Garm Wars: The Last Druid,science fiction film,Mamoru Oshii,2014-01-01,
Dead Space: Downfall,splatter film,Chuck Patton,2008-01-01,
The Body,,,1982-01-01,
Forgotten,drama,Alex Schmidt,2012-12-20,
Saratoga Trunk,drama,Sam Wood,1945-01-01,
The War of the Roses,novel,,,
Nathan Birnbaum,,,,
Nameless Gangster,gangster film,Yoon Jong-bin,2012-01-01,
"Definitely, Maybe",romantic comedy,Adam Brooks,2008-01-24,
Tom Thumb,,,,
Horst,,,,
Soul Men,musical film,Malcolm D. Lee,2008-01-01,
Nidra,romance film,Sidharth Bharathan,2012-02-24,
Mogambo,adventure film,John Ford,1953-01-01,
Denis,comedy film,Lionel Bailliu,2013-05-01,
Born Romantic,romantic comedy,David Kane,2000-01-01,
Me and the Kid,comedy film,Dan Curtis,1993-01-01,
Narasaki,thrash metal,,,
NECK,comedy horror,,2010-01-01,
The Number 23,thriller film,Joel Schumacher,2007-02-13,
Live Free or Die,comedy film,Gregg Kavet,2006-01-01,
Evita – The Complete Motion Picture Music Soundtrack,,,1996-11-12,
Hidden Agenda,political thriller,Ken Loach,1990-01-01,
Brotherhood of the Wolf,science fiction film,Christophe Gans,2001-01-01,
Prime,romantic comedy,Ben Younger,2005-01-01,
XL Recordings,,,,
Double Zero,comedy film,Gérard Pirès,2004-06-16,
Hide and Seek,thriller film,Huh Jung,2013-08-14,
Horror Stories,anthology film,Min Gyu-dong,2012-07-25,
Condorman,spy film,Charles Jarrott,1981-08-07,
Frankenhooker,comedy horror,Frank Henenlotter,1990-01-01,
Six Days Seven Nights,romantic comedy,Ivan Reitman,1998-01-01,
Tightrope,crime film,Richard Tuggle,1984-01-01,
USS Titan,,,,
Bad Cat,action film,Mehmet Kurtuluş,2016-02-05,
Louise Hires a Contract Killer,comedy film,Benoît Delépine,2008-01-01,
The Day of the Dolphin,,,,
Hana-bi,crime film,Takeshi Kitano,1997-09-03,
Kill Theory,thriller film,Chris Moore,2009-01-01,
Le cousin,crime film,Alain Corneau,1997-01-01,
The Geisha House,drama,Kinji Fukasaku,1999-01-01,
Replay,speculative fiction novel,,,
Wonderland,,,,
Connie and Carla,crime film,Michael Lembeck,2004-01-01,
Connors' War,science fiction film,Nick Castle,2006-01-01,
Conquest,science fiction film,Lucio Fulci,1983-01-01,
Casualties of War,war film,Brian De Palma,1989-01-01,
Husbands in Goa,comedy film,Saji Surendran,2012-01-01,
The Colonel,drama,Laurent Herbiet,2006-01-01,
Crane,,,,
Dark City,science fiction film,Alex Proyas,1998-02-27,
God Is Great and I'm Not,romantic comedy,Pascale Bailly,2001-01-01,
Trouble with the Curve,sport film,Robert Lorenz,2012-09-19,
My Gal Sal,musical film,Irving Cummings,1942-04-30,
True Romance,crime film,Tony Scott,1993-09-10,
Queen to Play,comedy-drama,Caroline Bottaro,2009-01-01,
"It's Not Me, I Swear!",comedy-drama,Philippe Falardeau,2008-01-01,
Colour Me Kubrick,comedy-drama,Brian W. Cook,2006-01-01,
Year One,buddy film,Harold Ramis,2009-01-01,
Daybreakers,science fiction film,Peter Spierig,2009-09-11,
The Black Orchid,drama,Martin Ritt,1958-01-01,
Hall Pass,romantic comedy,Bobby Farrelly,2011-03-10,
Crazy Heart,musical film,Scott Cooper,2009-01-01,
The Girl in the Park,drama,David Auburn,2007-01-01,
I Love You Phillip Morris,crime film,John Requa,2009-01-18,
Contraband,crime film,Baltasar Kormákur,2012-01-01,
Eloise Midgen,,,,
Control,science fiction film,Tim Hunter,2004-01-01,
Alien Apocalypse,science fiction,Josh Becker,2005-01-01,
Make the Yuletide Gay,romantic comedy,Rob Williams,2009-01-01,
Barnyard,children's film,Steve Oedekerk,2006-01-01,
Push,novel,,1996-01-01,
The Convent,drama,Manoel de Oliveira,1995-01-01,
The Milk of Sorrow,drama,Claudia Llosa,2009-10-29,
Conversations with Other Women,romantic comedy,Hans Canosa,2005-01-01,
Tangled,musical film,Nathan Greno,2010-11-24,
A Little Thing Called Murder,crime film,Richard Benjamin,2006-01-01,
Norbit,romantic comedy,Brian Robbins,2007-01-01,
Cookie,comedy-drama,Léa Fazer,2013-01-23,
Cooking History,documentary film,Peter Kerekes,2010-09-01,
Goya's Ghosts,biographical film,Miloš Forman,2006-01-01,
East of Eden,novel,,,
The Double Life of Véronique,fantasy film,Krzysztof Kieślowski,1991-05-15,
The Skin I Live In,film based on literature,Pedro Almodóvar,2011-05-19,
Of Gods and Men,war film,Xavier Beauvois,2010-05-18,
Come and See,partisan film,Elem Klimov,1987-05-07,
Saidoweizu,road movie,,,
The 9th Company,war film,Fyodor Bondarchuk,2005-09-29,
Elizabethtown,romantic comedy,Cameron Crowe,2005-01-01,
The Rite,thriller film,Mikael Håfström,2011-01-01,
Far from Heaven,LGBT-related film,Todd Haynes,2002-11-08,
Olivia in Concert,,,,
Mammuth,drama,Benoît Delépine,2010-01-01,
The Merry Widow,romantic comedy,Ernst Lubitsch,1934-01-01,
How the Toys Saved Christmas,traditionally animated film,Enzo D’Alò,1996-01-01,
The Slammin' Salmon,romantic comedy,Kevin Heffernan,2009-01-01,
"Suddenly, Last Summer",drama,,,
P.S. Your Cat Is Dead,novel,,,
The Hot Chick,fantasy film,Tom Brady,2002-12-02,
Showdown in Seoul,action film,Masahiko Nagasawa,2002-02-09,
Cops & Robbersons,crime film,Michael Ritchie,1994-01-01,
Rollover,political thriller,Alan J. Pakula,1981-01-01,
Capturing Dad,drama,Ryōta Nakano,2012-06-15,
Warlock: The Armageddon,horror film,Anthony Hickox,1993-01-01,
The NeverEnding Story – Original Motion Picture Soundtrack,,,,
Demons of War,war film,Władysław Pasikowski,1998-01-01,
klingon Bird of Prey,,,,
Corinne Marrinan,,,,
Green Street,crime film,Lexi Alexander,2005-01-01,
Sri Rama Rajyam,drama,Bapu,2011-11-17,
The Wedding Singer,romantic comedy,Frank Coraci,1998-02-03,
Red River,action film,Howard Hawks,1948-01-01,
Three Lives and Only One Death,comedy film,Raúl Ruiz,1996-01-01,
Green Snake,comedy-drama,Tsui Hark,1993-01-01,
Freaks,thriller film,Tod Browning,1932-01-01,
Hogwarts defenders,,,,
Napoleon Dynamite,coming-of-age story,Jared Hess,2004-01-17,
Haunted Mansion Holiday,,,,
Most,drama,Bobby Garabedian,2003-01-01,
Borg cube,,,,
Cornelius Schwehr,,,,
Under the Hawthorn Tree,drama,Zhang Yimou,2010-01-01,
Oskar & Josefine,adventure film,Carsten Myllerup,2005-02-11,
The Whisperers,film based on a novel,Bryan Forbes,1967-01-01,
The Sweetest Thing,romantic comedy,Roger Kumble,2002-04-12,
The Profession of Arms,war film,Ermanno Olmi,2001-01-01,
Strays,drama,Vin Diesel,1997-01-01,
Ed,,,,
Magadheera,musical film,S. S. Rajamouli,2009-07-30,
Vanishing Point,crime film,Richard C. Sarafian,1971-01-01,
Little Maestra,teen film,,2012-01-01,
Rudolf and Ippaiattena,adventure film,Kunihiko Yuyama,2016-08-06,
Invisible Target,action film,Benny Chan,2007-01-01,
"Corrina, Corrina",children's film,Jessie Nelson,1994-01-01,
The Corruptor,crime film,James Foley,1999-01-01,
A Chinese Ghost Story,film based on literature,Ching Siu-tung,1987-01-01,
For Keeps,drama,John G. Avildsen,1988-01-01,
Boo,,,,
Ladyhawke,adventure film,Richard Donner,1985-03-29,
Tatsuya Kushida,,,,
Contre-enquête,crime film,Franck Mancuso,2007-01-01,
Teenage Mutant Ninja Turtles: Music from the Motion Picture,soundtrack,,,
Xavier Marchand,,,,
Runaway Train,prison film,Andrei Konchalovsky,1985-11-15,
J. Edgar,biographical film,Clint Eastwood,2011-11-03,
Country Strong,musical film,Shana Feste,2010-11-08,
Toshiyuki Inoue,,,,
Jack Brooks: Monster Slayer,comedy horror,Jon Knautz,2007-01-01,
My Bloody Valentine 3D,slasher film,Patrick Lussier,2009-01-01,
Son in Law,romantic comedy,Steve Rash,1993-07-02,
Dirty,alternative rock,,1992-07-21,
Spice World,musical film,Bob Spiers,1997-01-01,
Sydney White,romantic comedy,Joe Nussbaum,2007-01-01,
Hollywoodland,biographical film,Allen Coulter,2006-01-01,
Adrift in Tokyo,comedy-drama,Satoshi Miki,2007-01-01,
The Virgin Queen,biographical film,Henry Koster,1955-01-01,
Maurice Jaubert,Western classical music,,,
Dance of the Dead,science fiction film,Gregg Bishop,2008-01-01,
Cyborg She,romantic comedy,Kwak Jae-yong,2008-01-01,
Jackass Number Two,documentary film,Jeff Tremaine,2006-01-01,
Poppoya,drama,Yasuo Furuhata,1999-01-01,
That Obscure Object of Desire,film based on literature,Luis Buñuel,1977-08-17,
In Good Company,comedy film,http://www.wikidata.org/entity/Q98708518,2000-01-01,
The Monitor,thriller film,Pål Sletaune,2011-03-11,
The Goddess of 1967,comedy-drama,Clara Law,2000-01-01,
Soldier,,Gerd Oswald,1964-09-19,
When in Rome,romantic comedy,Steve Purcell,2002-01-01,
The Robe,historical novel,,,
Top Hat,romantic comedy,Mark Sandrich,1935-01-01,
Venus in Fur,drama,,,
Turistas,slasher film,John Stockwell,2006-12-01,
Fallen,film based on a novel,Scott Hicks,2015-01-01,
Crazy,coming-of-age story,Hans-Christian Schmid,2000-01-01,
The Eye,horror film,Danny Pang Phat,2002-01-01,
Fatal Instinct,crime film,Carl Reiner,1993-01-01,
Chasing Destiny,comedy film,,2001-01-01,
StreetDance 2,melodrama,Max Giwa,2012-01-01,
Battle of Los Angeles,science fiction film,Mark Atkins,2011-01-01,
Vision Quest,novel,,,
Paranoid Park,novel,,,
George Harrison: Living in the Material World,documentary film,Martin Scorsese,2011-01-01,
Creator,romantic comedy,Ivan Passer,1985-01-01,
Yōsuke Yamashita,jazz,,,
The Straight Story,biographical film,David Lynch,1999-05-21,
After Life,fantasy film,Hirokazu Koreeda,1998-01-01,
Borgman,thriller film,Alex van Warmerdam,2013-05-19,
12 and Holding,coming-of-age story,Michael Cuesta,2005-01-01,
Face,heist film,Antonia Bird,1997-01-01,
The Devil's Path,crime film,Kazuya Shiraishi,2013-09-21,
Matthew Bourne,,,,
Hiroshi Katō,,,,
Gracie,drama,Davis Guggenheim,2007-01-01,
Mademoiselle Chambon,novel,,,
Crimson Tide,war film,Tony Scott,1995-05-12,
"They Shoot Horses, Don't They?",novel,,,
The Messenger: The Story of Joan of Arc,historical drama,Luc Besson,1999-11-12,
Soul Food,comedy-drama,"George Tillman, Jr.",1997-08-24,
The Path to 9/11,drama,David L. Cunningham,,
Finding Forrester,coming-of-age story,Gus Van Sant,2000-01-01,
Mutants,zombie film,David Morlet,2009-01-01,
Rat Race,screwball comedy film,Jerry Zucker,2001-01-01,
The Crocodile Hunter: Collision Course,action film,John Stainton,2002-01-01,
A Knight's Tale,adventure film,Brian Helgeland,2001-03-08,
Cromwell,historical drama,Ken Hughes,1970-01-01,
To the Wonder,melodrama,Terrence Malick,2012-01-01,
Shallow Hal,romantic comedy,Bobby Farrelly,2001-11-01,
Cronos,thriller film,Guillermo del Toro,1993-01-01,
"The Eclipse, or the Courtship of the Sun and Moon",silent film,Georges Méliès,1907-01-01,
Saraband,drama,Ingmar Bergman,2003-12-01,
The Recruit,thriller film,Roger Donaldson,2003-01-01,
Cross Creek,historical drama,Martin Ritt,1983-01-01,
Public Access,psychological thriller,Bryan Singer,1993-01-01,
The Crossing Guard,crime film,Sean Penn,1995-01-01,
John Q,crime film,Nick Cassavetes,2002-01-01,
Striptease,comedy-drama,Andrew Bergman,1996-01-01,
Faithless,drama,Liv Ullmann,2000-10-19,
The Heiress,historical drama,William Wyler,1949-10-06,
Vexille,science fiction film,Fumihiko Sori,2007-01-01,
Croupier,crime film,Mike Hodges,1998-01-01,
The Peacemaker,thriller film,Mimi Leder,1997-01-01,
Wilhelm scream,,,,
Little Buddha,drama,Bernardo Bertolucci,1993-01-01,
The Legend of Bagger Vance,comedy-drama,Robert Redford,2000-01-01,
Thirteen,biographical film,Catherine Hardwicke,2003-08-20,
Executive Decision,thriller film,Stuart Baird,1996-01-01,
Cry Wolf,,,,
Lebanon,,,,
The Buried Forest,drama,Kōhei Oguri,2005-01-01,
Just the Wind,drama,Benedek Fliegauf,2012-02-16,
Rabbit-Proof Fence,historical drama,Phillip Noyce,2002-01-01,
Francesco De Gregori,,,,
Shōichi Masuo,,,,
"Pane, amore e...",comedy film,Dino Risi,1955-01-01,
Thirteen Conversations About One Thing,drama,Jill Sprecher,2001-01-01,
Uptown Girls,female buddy film,Boaz Yakin,2003-08-15,
Sands of Iwo Jima,war film,Allan Dwan,1949-12-14,
Hitman Hart: Wrestling with Shadows,documentary film,Paul Jay,1998-01-01,
Mariya Takeuchi,soul music,,,
The House on Telegraph Hill,film noir,Robert Wise,1951-01-01,
The Dove,independent film,Roland West,1927-01-01,
Tweetie Pie,children's film,Bob Clampett,1947-05-03,
Tell-Tale,science fiction film,Michael Cuesta,2010-01-01,
Keeping Up with the Steins,comedy film,Scott Marshall,2006-05-12,
A Night in the Life of Jimmy Reardon,film based on literature,William Richert,1988-01-01,
Cure,horror film,Kiyoshi Kurosawa,1997-01-01,
Youth in Revolt,,,1993-01-01,
Kan Shimozawa,,,,
Speedy Gonzales,children's film,Friz Freleng,1955-01-01,
Father of the Bride,coming-of-age story,Charles Shyer,1991-12-20,
Jean-Philippe Rameau,choral music,,,
